31.0,7,4,206
31.0,7,5,207
31.0,7,6,204
31.0,7,7,207
31.0,7,8,207
31.0,7,9,207
37.0,7,0,207
37.0,7,1,208
37.0,7,2,210
37.0,7,3,208
37.0,7,4,209
37.0,7,5,209
37.0,7,6,210
37.0,7,7,213
37.0,7,8,209
37.0,7,9,208
44.0,7,0,210
44.0,7,1,211
44.0,7,2,210
44.0,7,3,211
44.0,7,4,211
44.0,7,5,219
44.0,7,6,211
44.0,7,7,209
44.0,7,8,212
44.0,7,9,210
52.0,7,0,214
52.0,7,1,214
52.0,7,2,215
52.0,7,3,217
52.0,7,4,214
52.0,7,5,216
52.0,7,6,217
52.0,7,7,216
52.0,7,8,216
52.0,7,9,216
61.0,7,0,218
61.0,7,1,218
61.0,7,2,217
61.0,7,3,219
61.0,7,4,219
61.0,7,5,220
61.0,7,6,223
61.0,7,7,217
61.0,7,8,218
61.0,7,9,218
72.0,7,0,221
72.0,7,1,222
72.0,7,2,221
72.0,7,3,223
72.0,7,4,225
72.0,7,5,223
72.0,7,6,223
72.0,7,7,221
72.0,7,8,222
72.0,7,9,224
85.0,7,0,225
85.0,7,1,226
85.0,7,2,226
85.0,7,3,226
85.0,7,4,225
85.0,7,5,229
85.0,7,6,226
85.0,7,7,225
85.0,7,8,226
85.0,7,9,226
100.0,7,0,234
100.0,7,1,229
100.0,7,2,231
100.0,7,3,230
100.0,7,4,231
100.0,7,5,230
100.0,7,6,233
100.0,7,7,231
100.0,7,8,230
100.0,7,9,232
117.0,7,0,236
117.0,7,1,236
117.0,7,2,235
117.0,7,3,234
117.0,7,4,236
117.0,7,5,242
117.0,7,6,237
117.0,7,7,235
117.0,7,8,234
117.0,7,9,237
137.0,7,0,242
137.0,7,1,250
137.0,7,2,243
137.0,7,3,244
137.0,7,4,240
137.0,7,5,242
137.0,7,6,242
137.0,7,7,243
137.0,7,8,240
137.0,7,9,245
161.0,7,0,248
161.0,7,1,257
161.0,7,2,247
161.0,7,3,251
161.0,7,4,248
161.0,7,5,248
161.0,7,6,248
161.0,7,7,256
161.0,7,8,246
161.0,7,9,246
189.0,7,0,255
189.0,7,1,265
189.0,7,2,255
189.0,7,3,254
189.0,7,4,254
189.0,7,5,260
189.0,7,6,257
189.0,7,7,253
189.0,7,8,256
189.0,7,9,254
222.0,7,0,266
222.0,7,1,259
222.0,7,2,260
222.0,7,3,262
222.0,7,4,259
222.0,7,5,267
222.0,7,6,267
222.0,7,7,264
222.0,7,8,268
222.0,7,9,259
260.0,7,0,268
260.0,7,1,272
260.0,7,2,270
260.0,7,3,305
260.0,7,4,268
260.0,7,5,269
260.0,7,6,271
260.0,7,7,269
